user_id,count_futures_trader,count_index_options_non_scalper,count_index_options_scalper,count_index_options_seller,count_investor,count_stock_options_non_scalper,count_stock_options_scalper,count_stock_options_seller,count_stock_trader,count_unmapped,pct_futures_trader,pct_index_options_non_scalper,pct_index_options_scalper,pct_index_options_seller,pct_investor,pct_stock_options_non_scalper,pct_stock_options_scalper,pct_stock_options_seller,pct_stock_trader,pct_unmapped,total_trades,primary_persona
d5sgsa6fa7qs73fk0tug,0,812,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,812,index options non-scalper
d5t0dr27gegc73a1amng,0,0,0,0,70,0,0,0,0,0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,70,investor
d5t1q3ufa7qs73fk7ft0,0,52,62,0,0,0,0,0,23,0,0.0,37.96,45.26,0.0,0.0,0.0,0.0,0.0,16.79,0.0,137,mixed
d5t5pvufa7qs73fkauvg,5,214,0,0,0,4,0,0,0,0,2.24,95.96,0.0,0.0,0.0,1.79,0.0,0.0,0.0,0.0,223,index options non-scalper
d5t5qii7gegc73a1f370,0,0,1783,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1783,index options scalper
d5tiu6ufa7qs73fkg5i0,0,3,137,0,0,1,0,0,0,0,0.0,2.13,97.16,0.0,0.0,0.71,0.0,0.0,0.0,0.0,141,index options scalper
d5totgq7gegc73a1pqog,0,0,42,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,index options scalper
d5tpdbq7gegc73a1qgi0,0,0,0,0,3,0,0,0,3,0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,6,mixed
d5u0rc27gegc73a1st50,0,3,4,0,0,0,0,0,0,0,0.0,42.86,57.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,mixed
d5u1rsufa7qs73fkp6l0,0,26,8,363,0,0,0,0,0,0,0.0,6.55,2.02,91.44,0.0,0.0,0.0,0.0,0.0,0.0,397,index options seller
d5u2fv27gegc73a1tl50,19,19,0,20,0,1,0,0,0,0,32.2,32.2,0.0,33.9,0.0,1.69,0.0,0.0,0.0,0.0,59,mixed
d5ur85i7gegc73a2bg40,0,1,0,0,0,43,0,0,0,0,0.0,2.27,0.0,0.0,0.0,97.73,0.0,0.0,0.0,0.0,44,stock options non-scalper
d5urb36fa7qs73fl7i60,0,0,630,1,0,0,0,0,0,0,0.0,0.0,99.84,0.16,0.0,0.0,0.0,0.0,0.0,0.0,631,index options scalper
d5v22iq7gegc73a2gao0,0,0,0,143,0,0,0,0,0,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,143,index options seller
d5v2teefa7qs73fld1p0,0,26,160,297,0,0,0,0,0,0,0.0,5.38,33.13,61.49,0.0,0.0,0.0,0.0,0.0,0.0,483,index options seller
d5vndfi7gegc73a2rpp0,0,232,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232,index options non-scalper
d5vo0kufa7qs73floni0,0,1,1,15,0,0,0,0,0,0,0.0,5.88,5.88,88.24,0.0,0.0,0.0,0.0,0.0,0.0,17,index options seller
d602f7ufa7qs73flsieg,0,1,73,129,1,0,0,6,4,0,0.0,0.47,34.11,60.28,0.47,0.0,0.0,2.8,1.87,0.0,214,index options seller
d602kk6fa7qs73flsljg,0,0,0,0,13,0,0,0,0,0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,13,investor
d6063rmfa7qs73fluo10,0,223,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223,index options non-scalper
d60lksq7gegc73a3b4eg,0,0,34,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,index options scalper
d60m3l6fa7qs73fm7eqg,0,2,0,0,0,2,0,0,0,0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,4,mixed
d613i3ufa7qs73fmhde0,0,0,17,0,0,74,1,0,0,0,0.0,0.0,18.48,0.0,0.0,80.43,1.09,0.0,0.0,0.0,92,stock options non-scalper
d614a3mfa7qs73fmhtu0,0,0,26,0,0,45,0,0,1,0,0.0,0.0,36.11,0.0,0.0,62.5,0.0,0.0,1.39,0.0,72,stock options non-scalper
d61g76i7gegc73a3qahg,0,69,84,0,0,0,0,0,0,0,0.0,45.1,54.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153,mixed
d61p72q7gegc73a41c70,0,0,0,0,2,0,0,0,213,0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,99.07,0.0,215,stock trader
d620soefa7qs73fmv750,0,0,82,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82,index options scalper
d6286m27gegc73a47l9g,0,0,927,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,927,index options scalper
d62b0dufa7qs73fn5o1g,0,0,8,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,index options scalper
d62be227gegc73a4a030,0,0,0,0,2,0,0,0,3,0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,60.0,0.0,5,stock trader
d62h9cq7gegc73a4dd2g,0,4,1070,0,1,0,0,0,0,0,0.0,0.37,99.53,0.0,0.09,0.0,0.0,0.0,0.0,0.0,1075,index options scalper
d62tqra7gegc73a4iqm0,0,2,1099,0,0,0,0,0,0,0,0.0,0.18,99.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1101,index options scalper
d62v2lmfa7qs73fng090,0,0,0,6,0,0,0,0,0,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,6,index options seller
d638kjmfa7qs73fnmsk0,0,1099,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1099,index options non-scalper
d63c1uufa7qs73fnpbng,0,288,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288,index options non-scalper
